"CBSA","CBSA.Code","Year","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.for.Sensitive.Groups.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","X90th.Percentile.AQI","Median.AQI","Days.CO","Days.NO2","Days.Ozone","Days.PM2.5","Days.PM10"
"Spartanburg, SC",43900,2015,364,252,112,0,0,0,0,97,64,42,0,0,137,227,0
"Spokane-Spokane Valley, WA",44060,2015,364,219,127,14,4,0,0,167,75,46,1,0,126,200,37
"Springfield, IL",44100,2015,349,312,37,0,0,0,0,85,53,34,0,0,305,44,0
"Springfield, MA",44140,2015,365,275,84,6,0,0,0,147,64,40,0,14,234,117,0
"Springfield, MO",44180,2015,358,295,63,0,0,0,0,80,56,38,0,0,153,194,11
"Springfield, OH",44220,2015,365,238,120,7,0,0,0,133,68,44,0,0,137,228,0
"St. Cloud, MN",41060,2015,355,327,27,0,1,0,0,151,47,33,0,0,186,169,0
"St. George, UT",41100,2015,365,282,80,3,0,0,0,108,67,43,0,0,359,6,0
"St. Joseph, MO-KS",41140,2015,364,252,112,0,0,0,0,99,62,42,0,0,120,235,9
"St. Louis, MO-IL",41180,2015,365,133,216,14,2,0,0,154,82,55,0,9,110,235,11
"St. Marys, PA",41260,2015,347,324,22,1,0,0,0,101,48,36,0,0,347,0,0
"State College, PA",44300,2015,365,258,105,2,0,0,0,108,65,42,0,3,226,136,0
"Steamboat Springs, CO",44460,2015,364,357,7,0,0,0,0,58,32,13,0,0,0,0,364
"Stockton-Lodi, CA",44700,2015,365,138,191,32,4,0,0,164,100,56,0,1,170,188,6
"Summerville, GA",44900,2015,191,173,18,0,0,0,0,97,49,36,0,0,191,0,0
"Syracuse, NY",45060,2015,365,309,55,1,0,0,0,115,55,35,0,0,280,85,0
"Tahlequah, OK",45140,2015,278,256,22,0,0,0,0,93,48,37,0,0,278,0,0
"Talladega-Sylacauga, AL",45180,2015,107,76,31,0,0,0,0,81,57,40,0,0,0,107,0
"Tallahassee, FL",45220,2015,365,267,98,0,0,0,0,97,60,41,0,0,131,234,0
"Tampa-St. Petersburg-Clearwater, FL",45300,2015,365,242,122,1,0,0,0,119,67,44,0,4,190,170,1
"Taos, NM",45340,2015,363,361,2,0,0,0,0,63,25,13,0,0,0,363,0
"Terre Haute, IN",45460,2015,362,228,133,0,1,0,0,151,64,44,0,0,107,255,0
"Texarkana, TX-AR",45500,2015,118,86,32,0,0,0,0,79,58,38,0,0,0,118,0
"The Dalles, OR",45520,2015,358,326,30,0,2,0,0,156,48,20,0,0,0,358,0
"Toledo, OH",45780,2015,365,268,96,1,0,0,0,113,64,41,0,0,149,216,0
"Topeka, KS",45820,2015,365,322,42,1,0,0,0,108,52,36,0,0,322,30,13
"Torrington, CT",45860,2015,365,305,53,7,0,0,0,147,61,39,0,3,292,69,1
"Traverse City, MI",45900,2015,183,160,21,2,0,0,0,108,58,39,0,0,183,0,0
"Trenton, NJ",45940,2015,365,246,109,10,0,0,0,147,77,42,0,0,255,110,0
"Truckee-Grass Valley, CA",46020,2015,364,217,116,29,2,0,0,166,93,47,0,0,356,8,0
"Tucson, AZ",46060,2015,365,247,117,1,0,0,0,101,71,45,0,2,281,16,66
"Tulsa, OK",46140,2015,365,250,113,2,0,0,0,147,65,45,0,3,203,158,1
"Tupelo, MS",46180,2015,235,228,7,0,0,0,0,74,47,35,0,0,235,0,0
"Tuscaloosa, AL",46220,2015,357,193,164,0,0,0,0,89,63,49,0,0,50,307,0
"Twin Falls, ID",46300,2015,275,259,13,3,0,0,0,141,43,24,0,0,0,275,0
"Tyler, TX",46340,2015,365,319,45,1,0,0,0,108,54,33,0,1,364,0,0
"Ukiah, CA",46380,2015,365,302,59,2,2,0,0,160,55,38,0,0,136,229,0
"Urban Honolulu, HI",46520,2015,365,331,34,0,0,0,0,62,49,34,0,2,161,185,17
"Utica-Rome, NY",46540,2015,365,309,56,0,0,0,0,84,55,36,0,0,246,119,0
"Valdosta, GA",46660,2015,357,276,81,0,0,0,0,87,58,38,0,0,0,357,0
"Vallejo-Fairfield, CA",46700,2015,365,246,115,4,0,0,0,118,74,44,0,6,201,157,1
"Vernal, UT",46860,2015,365,249,114,2,0,0,0,122,67,46,0,0,349,16,0
"Victoria, TX",47020,2015,357,323,33,1,0,0,0,105,50,32,0,0,357,0,0
"Vincennes, IN",47180,2015,349,314,35,0,0,0,0,93,51,34,0,0,349,0,0
"Vineland-Bridgeton, NJ",47220,2015,362,317,43,2,0,0,0,108,54,33,0,0,362,0,0
"Vineyard Haven, MA",47240,2015,260,242,16,2,0,0,0,112,47,31,0,0,203,57,0
"Virginia Beach-Norfolk-Newport News, VA-NC",47260,2015,365,283,82,0,0,0,0,93,61,40,0,30,191,144,0
"Visalia-Porterville, CA",47300,2015,365,50,217,78,20,0,0,170,143,78,0,0,206,154,5
"Wabash, IN",47340,2015,358,330,26,2,0,0,0,126,49,35,0,0,358,0,0
"Waco, TX",47380,2015,365,282,80,3,0,0,0,115,61,38,0,1,258,106,0
"Walla Walla, WA",47460,2015,362,331,27,3,1,0,0,152,49,20,0,0,0,362,0
"Walterboro, SC",47500,2015,299,283,16,0,0,0,0,68,47,33,0,0,208,91,0
"Warner Robins, GA",47580,2015,363,288,75,0,0,0,0,95,55,35,0,0,0,363,0
"Washington Court House, OH",47920,2015,327,294,30,3,0,0,0,115,51,37,0,0,327,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,2015,365,154,197,13,1,0,0,156,84,53,0,21,164,180,0
"Waterloo-Cedar Falls, IA",47940,2015,365,190,173,2,0,0,0,111,67,49,0,0,49,315,1
"Watertown, SD",47980,2015,356,317,38,1,0,0,0,138,51,27,0,0,0,264,92
"Watertown-Fort Atkinson, WI",48020,2015,198,171,27,0,0,0,0,93,58,40,0,0,198,0,0
"Watertown-Fort Drum, NY",48060,2015,364,345,19,0,0,0,0,90,47,32,0,0,364,0,0
"Wausau, WI",48140,2015,204,192,12,0,0,0,0,90,48,36,0,0,204,0,0
"Weatherford, OK",48220,2015,135,135,0,0,0,0,0,38,28,15,0,0,0,0,135
"Weirton-Steubenville, WV-OH",48260,2015,365,162,198,5,0,0,0,117,74,52,0,0,102,254,9
"Wenatchee, WA",48300,2015,362,289,70,3,0,0,0,148,60,25,0,0,0,362,0
"Wheeling, WV-OH",48540,2015,365,242,121,2,0,0,0,112,64,44,0,6,128,231,0
"Whitewater-Elkhorn, WI",48580,2015,199,170,28,1,0,0,0,108,58,40,0,0,199,0,0
"Wichita, KS",48620,2015,365,290,75,0,0,0,0,100,58,40,0,17,291,24,33
"Williamsport, PA",48700,2015,363,340,23,0,0,0,0,87,48,34,0,0,362,0,1
"Williston, ND",48780,2015,364,314,42,5,3,0,0,174,54,33,0,0,247,79,38
"Wilmington, NC",48900,2015,354,326,28,0,0,0,0,71,48,33,0,0,172,182,0
"Wilmington, OH",48940,2015,214,182,29,3,0,0,0,119,61,41,0,0,214,0,0
"Winchester, VA-WV",49020,2015,342,271,71,0,0,0,0,84,61,39,0,0,151,191,0
"Winona, MN",49100,2015,120,115,5,0,0,0,0,73,40,18,0,0,0,120,0
"Winston-Salem, NC",49180,2015,365,195,167,3,0,0,0,126,73,49,0,4,142,219,0
"Worcester, MA-CT",49340,2015,365,299,63,3,0,0,0,129,59,39,0,35,260,70,0
"Yakima, WA",49420,2015,363,236,107,16,4,0,0,181,85,36,0,0,0,356,7
"York-Hanover, PA",49620,2015,365,201,155,9,0,0,0,126,80,48,0,12,174,179,0
"Youngstown-Warren-Boardman, OH-PA",49660,2015,365,196,164,4,1,0,0,152,73,48,0,0,179,186,0
"Yuba City, CA",49700,2015,365,194,163,8,0,0,0,119,84,49,1,2,233,129,0
"Yuma, AZ",49740,2015,365,260,91,13,0,1,0,266,77,43,0,0,212,20,133
"Aberdeen, SD",10100,2016,119,113,6,0,0,0,0,76,42,20,0,0,0,103,16
"Aberdeen, WA",10140,2016,364,355,9,0,0,0,0,71,37,21,0,0,0,364,0
"Adjuntas, PR",10260,2016,97,90,7,0,0,0,0,72,47,21,0,0,0,97,0
"Adrian, MI",10300,2016,361,286,73,2,0,0,0,119,58,40,0,0,163,198,0
"Akron, OH",10420,2016,366,254,111,1,0,0,0,112,61,44,0,0,129,237,0
"Albany, GA",10500,2016,363,263,100,0,0,0,0,93,59,36,0,0,0,363,0
"Albany, OR",10540,2016,366,333,33,0,0,0,0,78,50,19,0,0,0,366,0
"Albany-Schenectady-Troy, NY",10580,2016,366,310,53,3,0,0,0,119,58,37,0,0,283,83,0
"Albuquerque, NM",10740,2016,366,185,178,3,0,0,0,143,74,50,0,3,239,69,55
"Alexandria, LA",10780,2016,102,96,6,0,0,0,0,62,48,34,0,0,0,102,0
"Allentown-Bethlehem-Easton, PA-NJ",10900,2016,366,174,181,10,0,1,0,217,75,51,0,6,129,231,0
"Altoona, PA",11020,2016,366,285,79,2,0,0,0,122,59,40,0,0,196,166,4
"Amarillo, TX",11100,2016,366,323,42,1,0,0,0,112,54,41,0,0,333,33,0
"Americus, GA",11140,2016,245,218,26,1,0,0,0,101,54,39,0,0,245,0,0
"Ames, IA",11180,2016,212,198,14,0,0,0,0,77,48,35,0,0,212,0,0
"Anchorage, AK",11260,2016,366,251,111,4,0,0,0,128,69,38,0,0,130,147,89
"Ann Arbor, MI",11460,2016,366,293,67,6,0,0,0,122,60,40,0,0,253,113,0
"Appleton, WI",11540,2016,349,300,47,2,0,0,0,108,55,33,0,0,177,172,0
"Ardmore, OK",11620,2016,298,249,46,3,0,0,0,129,61,41,0,0,255,43,0
"Arkadelphia, AR",11660,2016,355,351,4,0,0,0,0,54,45,34,0,0,355,0,0
"Asheville, NC",11700,2016,366,272,83,7,4,0,0,167,64,43,0,0,190,176,0
"Ashtabula, OH",11780,2016,213,171,36,6,0,0,0,126,64,41,0,0,213,0,0
"Athens, OH",11900,2016,60,58,2,0,0,0,0,56,42,27,0,0,0,60,0
"Athens, TN",11940,2016,119,101,17,0,1,0,0,167,52,32,0,0,0,119,0
"Athens-Clarke County, GA",12020,2016,362,295,61,4,2,0,0,162,61,40,0,0,191,171,0
"Atlanta-Sandy Springs-Roswell, GA",12060,2016,366,105,229,28,4,0,0,200,97,57,0,2,153,211,0
"Atlantic City-Hammonton, NJ",12100,2016,364,314,49,1,0,0,0,129,54,38,0,0,287,77,0
"Augusta-Richmond County, GA-SC",12260,2016,366,269,92,3,2,0,0,166,64,43,0,0,217,149,0
"Augusta-Waterville, ME",12300,2016,309,295,14,0,0,0,0,84,46,30,0,76,206,25,2
"Austin-Round Rock, TX",12420,2016,366,280,85,1,0,0,0,105,60,42,0,18,225,122,1
"Bakersfield, CA",12540,2016,366,70,180,102,14,0,0,169,136,80,0,0,231,128,7
"Baltimore-Columbia-Towson, MD",12580,2016,366,196,146,19,4,1,0,204,90,49,0,32,183,151,0
"Bangor, ME",12620,2016,366,320,46,0,0,0,0,75,54,36,0,0,193,173,0
"Baraboo, WI",12660,2016,366,328,37,1,0,0,0,101,51,32,0,0,183,179,4
"Barnstable Town, MA",12700,2016,362,337,24,1,0,0,0,115,47,36,0,0,353,9,0
"Bartlesville, OK",12780,2016,274,215,59,0,0,0,0,100,58,42,0,0,184,90,0
"Baton Rouge, LA",12940,2016,366,186,171,9,0,0,0,146,77,50,0,2,128,233,3
"Bay City, MI",13020,2016,355,320,35,0,0,0,0,81,50,28,0,0,0,355,0
"Beaumont-Port Arthur, TX",13140,2016,366,287,76,3,0,0,0,122,63,42,0,1,251,114,0
"Beaver Dam, WI",13180,2016,366,311,52,3,0,0,0,148,56,36,0,0,274,92,0
"Bellingham, WA",13380,2016,349,342,7,0,0,0,0,59,39,25,0,0,145,204,0
"Bemidji, MN",13420,2016,358,344,14,0,0,0,0,71,33,18,0,0,0,358,0
"Bend-Redmond, OR",13460,2016,327,322,5,0,0,0,0,61,37,22,0,0,0,327,0
"Bennington, VT",13540,2016,366,343,22,1,0,0,0,112,48,36,0,0,328,38,0
"Berlin, NH-VT",13620,2016,365,303,58,4,0,0,0,119,61,44,0,0,365,0,0
"Billings, MT",13740,2016,323,307,15,1,0,0,0,124,43,23,0,0,0,323,0
"Birmingham-Hoover, AL",13820,2016,366,191,164,10,1,0,0,151,77,49,0,16,149,198,3
"Bishop, CA",13860,2016,366,244,99,15,4,1,3,426,87,44,0,0,313,16,37
"Bismarck, ND",13900,2016,366,354,11,1,0,0,0,117,45,33,0,7,301,46,12
"Blacksburg-Christiansburg-Radford, VA",13980,2016,341,312,28,1,0,0,0,115,50,39,0,0,341,0,0
"Bloomington, IL",14010,2016,366,309,56,1,0,0,0,108,57,38,0,0,294,72,0
"Bloomington, IN",14020,2016,357,295,59,3,0,0,0,140,60,36,0,0,163,194,0
"Boise City, ID",14260,2016,366,218,134,13,1,0,0,155,80,46,0,6,160,196,4
"Boston-Cambridge-Newton, MA-NH",14460,2016,366,218,141,7,0,0,0,143,67,46,0,13,189,163,1
"Boulder, CO",14500,2016,204,190,14,0,0,0,0,97,48,35,0,0,108,80,16
"Bowling Green, KY",14540,2016,366,284,82,0,0,0,0,97,58,42,0,0,187,179,0
"Bozeman, MT",14580,2016,366,317,38,7,3,0,1,365,56,25,3,10,0,353,0
"Brainerd, MN",14660,2016,357,334,23,0,0,0,0,84,45,29,0,0,161,196,0
"Branson, MO",14700,2016,264,253,11,0,0,0,0,63,46,35,0,0,200,64,0
"Bremerton-Silverdale, WA",14740,2016,357,356,1,0,0,0,0,55,26,16,0,0,0,357,0
"Bridgeport-Stamford-Norwalk, CT",14860,2016,366,223,120,16,7,0,0,185,87,45,0,0,164,202,0
"Brookings, SD",15100,2016,365,342,22,1,0,0,0,101,47,34,0,0,292,48,25
"Brownsville-Harlingen, TX",15180,2016,366,277,87,2,0,0,0,110,63,40,0,0,172,194,0
"Brunswick, GA",15260,2016,343,314,27,2,0,0,0,129,49,35,0,0,182,161,0
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,2016,366,283,77,6,0,0,0,136,61,42,0,22,203,141,0
"Burlington-South Burlington, VT",15540,2016,366,349,17,0,0,0,0,80,45,35,0,1,308,57,0
"Butte-Silver Bow, MT",15580,2016,366,310,56,0,0,0,0,94,59,22,0,0,0,315,51
"Cadillac, MI",15620,2016,366,324,35,7,0,0,0,126,52,37,0,0,317,49,0
"Cambridge, MD",15700,2016,366,303,60,3,0,0,0,122,59,40,0,0,270,96,0
"Canton-Massillon, OH",15940,2016,366,267,93,6,0,0,0,119,67,40,2,0,179,185,0
"Cape Coral-Fort Myers, FL",15980,2016,366,324,41,1,0,0,0,105,51,38,0,0,260,105,1
"Carlsbad-Artesia, NM",16100,2016,362,292,70,0,0,0,0,100,61,44,0,2,360,0,0
"Carson City, NV",16180,2016,366,303,63,0,0,0,0,93,61,42,0,0,327,39,0
"Casper, WY",16220,2016,366,333,33,0,0,0,0,80,50,41,0,13,346,5,2
"Ca¤on City, CO",15860,2016,52,52,0,0,0,0,0,50,24,14,0,0,0,0,52
"Cedar Rapids, IA",16300,2016,366,281,84,1,0,0,0,106,59,40,0,0,127,237,2
"Centralia, WA",16500,2016,366,355,11,0,0,0,0,66,33,19,0,0,0,366,0
"Chambersburg-Waynesboro, PA",16540,2016,337,325,12,0,0,0,0,74,44,33,0,0,337,0,0
"Champaign-Urbana, IL",16580,2016,366,302,64,0,0,0,0,100,58,39,0,0,265,101,0
"Charleston, WV",16620,2016,354,299,53,2,0,0,0,119,54,37,58,0,160,136,0
"Charleston-North Charleston, SC",16700,2016,360,310,45,3,2,0,0,158,53,37,0,4,182,172,2
"Charlotte-Concord-Gastonia, NC-SC",16740,2016,366,227,130,7,2,0,0,156,80,46,0,6,263,97,0
"Charlottesville, VA",16820,2016,366,322,43,1,0,0,0,122,52,36,0,0,177,189,0
"Chattanooga, TN-GA",16860,2016,359,227,127,2,3,0,0,177,67,47,0,0,200,159,0
"Cheyenne, WY",16940,2016,366,316,50,0,0,0,0,87,54,43,0,5,341,20,0
"Chicago-Naperville-Elgin, IL-IN-WI",16980,2016,366,153,185,23,4,1,0,217,87,54,0,43,120,181,22
"Chico, CA",17020,2016,366,169,181,16,0,0,0,127,86,52,0,0,199,167,0
"Cincinnati, OH-KY-IN",17140,2016,366,167,181,18,0,0,0,140,80,53,0,22,140,201,3
"Claremont-Lebanon, NH-VT",17200,2016,366,347,19,0,0,0,0,77,45,33,0,0,294,72,0
"Clarksburg, WV",17220,2016,117,110,7,0,0,0,0,62,48,31,0,0,0,117,0
"Clarksville, TN-KY",17300,2016,364,298,66,0,0,0,0,90,57,40,0,0,253,111,0
"Clearlake, CA",17340,2016,365,358,7,0,0,0,0,74,44,33,0,0,363,2,0
"Cleveland, MS",17380,2016,244,222,22,0,0,0,0,93,50,39,0,0,244,0,0
"Cleveland-Elyria, OH",17460,2016,366,203,149,14,0,0,0,143,74,48,0,13,154,190,9
"Clinton, IA",17540,2016,366,176,189,1,0,0,0,108,67,52,0,0,71,295,0
"Coeur d'Alene, ID",17660,2016,351,325,26,0,0,0,0,83,47,22,0,0,0,351,0
"Colorado Springs, CO",17820,2016,366,268,96,2,0,0,0,126,67,44,0,0,342,24,0
"Columbia, MO",17860,2016,214,198,16,0,0,0,0,97,49,37,0,0,214,0,0
"Columbia, SC",17900,2016,366,254,107,3,2,0,0,168,61,44,0,1,204,161,0
"Columbus, GA-AL",17980,2016,364,264,95,5,0,0,0,148,61,41,0,0,167,197,0
"Columbus, IN",18020,2016,366,286,75,5,0,0,0,105,64,40,0,6,139,221,0
"Columbus, OH",18140,2016,366,264,92,10,0,0,0,126,71,42,0,41,188,136,1
"Concord, NH",18180,2016,358,344,14,0,0,0,0,84,44,31,0,0,358,0,0
"Cookeville, TN",18260,2016,122,114,8,0,0,0,0,88,48,29,0,0,0,122,0
"Corning, NY",18500,2016,363,335,26,2,0,0,0,122,49,36,4,0,307,52,0
"Corpus Christi, TX",18580,2016,366,307,59,0,0,0,0,93,57,37,0,0,265,101,0
"Corsicana, TX",18620,2016,366,311,55,0,0,0,0,83,53,39,0,0,249,117,0
"Corvallis, OR",18700,2016,194,185,9,0,0,0,0,64,38,15,0,0,0,194,0
"Craig, CO",18780,2016,345,316,29,0,0,0,0,67,50,41,0,0,345,0,0
"Crescent City, CA",18860,2016,177,172,5,0,0,0,0,65,40,20,0,0,0,177,0
"Crestview-Fort Walton Beach-Destin, FL",18880,2016,366,346,20,0,0,0,0,71,47,36,0,0,358,0,8
"Cullowhee, NC",19000,2016,271,179,83,7,2,0,0,154,71,45,0,0,210,61,0
"Dallas-Fort Worth-Arlington, TX",19100,2016,366,217,131,17,1,0,0,174,80,48,0,12,242,112,0
"Dalton, GA",19140,2016,275,233,41,1,0,0,0,112,58,43,0,0,242,33,0
"Daphne-Fairhope-Foley, AL",19300,2016,279,247,32,0,0,0,0,87,51,37,0,0,221,58,0
"Davenport-Moline-Rock Island, IA-IL",19340,2016,366,130,234,2,0,0,0,112,74,55,0,0,76,217,73
"Dayton, OH",19380,2016,366,246,113,7,0,0,0,112,72,44,0,0,239,127,0
"Decatur, AL",19460,2016,365,304,59,2,0,0,0,107,55,40,0,0,214,151,0
"Decatur, IL",19500,2016,365,305,60,0,0,0,0,97,56,40,0,0,192,173,0
"Deltona-Daytona Beach-Ormond Beach, FL",19660,2016,363,319,44,0,0,0,0,89,52,39,0,0,262,101,0
"Deming, NM",19700,2016,360,338,19,1,2,0,0,162,39,17,0,0,0,0,360
"Denver-Aurora-Lakewood, CO",19740,2016,366,92,245,25,4,0,0,159,93,61,0,88,216,47,15
"Des Moines-West Des Moines, IA",19780,2016,366,312,53,1,0,0,0,138,53,37,0,8,139,217,2
"Detroit-Warren-Dearborn, MI",19820,2016,366,160,188,18,0,0,0,147,87,53,0,16,123,201,26
"Dickinson, ND",19860,2016,366,356,10,0,0,0,0,91,44,34,0,0,350,16,0
"Dodge City, KS",19980,2016,366,360,6,0,0,0,0,67,31,16,0,0,0,0,366
"Dothan, AL",20020,2016,280,265,15,0,0,0,0,97,48,35,0,0,221,59,0
"Douglas, GA",20060,2016,43,40,3,0,0,0,0,54,47,31,0,0,0,43,0
"Dover, DE",20100,2016,364,300,62,2,0,0,0,136,61,39,0,0,294,70,0
"DuBois, PA",20180,2016,338,305,32,1,0,0,0,119,50,38,0,0,338,0,0
"Duluth, MN-WI",20260,2016,366,340,25,1,0,0,0,128,45,33,0,0,289,71,6
"Durango, CO",20420,2016,366,251,107,8,0,0,0,122,80,46,0,1,359,3,3
"Durham-Chapel Hill, NC",20500,2016,366,267,97,2,0,0,0,119,59,43,0,0,175,191,0
"Dyersburg, TN",20540,2016,96,94,2,0,0,0,0,56,43,25,0,0,0,96,0
"Eagle Pass, TX",20580,2016,322,278,44,0,0,0,0,82,53,27,0,0,0,322,0
"East Stroudsburg, PA",20700,2016,366,310,53,3,0,0,0,140,58,40,0,0,261,105,0
"Eau Claire, WI",20740,2016,359,317,42,0,0,0,0,84,52,35,0,0,132,227,0
"Effingham, IL",20820,2016,214,181,33,0,0,0,0,93,54,39,0,0,214,0,0
"El Centro, CA",20940,2016,366,105,216,39,3,1,2,541,105,60,0,2,144,90,130
"El Dorado, AR",20980,2016,122,98,24,0,0,0,0,71,53,35,0,0,0,122,0
"El Paso, TX",21340,2016,366,198,162,6,0,0,0,147,74,49,0,31,195,139,1
"Elizabethtown-Fort Knox, KY",21060,2016,364,248,115,1,0,0,0,101,64,43,0,0,103,261,0
"Elkhart-Goshen, IN",21140,2016,358,265,85,8,0,0,0,131,67,39,0,0,140,218,0
"Elko, NV",21220,2016,345,340,4,1,0,0,0,134,33,19,0,0,0,17,328
"Ellensburg, WA",21260,2016,366,310,50,6,0,0,0,143,58,19,0,0,0,366,0
"Emporia, KS",21380,2016,118,110,6,2,0,0,0,148,40,18,0,0,0,118,0
"Erie, PA",21500,2016,366,295,69,2,0,0,0,129,56,39,0,3,238,125,0
"Espa¤ola, NM",21580,2016,362,304,58,0,0,0,0,80,54,44,0,0,359,3,0
"Eugene, OR",21660,2016,366,299,66,1,0,0,0,108,58,34,0,0,141,223,2
"Eureka-Arcata-Fortuna, CA",21700,2016,366,326,40,0,0,0,0,74,52,35,0,1,229,130,6
"Evanston, WY",21740,2016,366,341,25,0,0,0,0,87,49,42,0,0,359,0,7
"Evansville, IN-KY",21780,2016,366,236,125,4,1,0,0,151,67,44,0,1,158,207,0
"Fairbanks, AK",21820,2016,366,219,91,33,23,0,0,180,121,37,0,5,136,210,15
"Fairmont, WV",21900,2016,95,86,9,0,0,0,0,61,50,33,0,0,0,95,0
"Fallon, NV",21980,2016,351,284,66,1,0,0,0,108,61,41,0,0,351,0,0
"Fargo, ND-MN",22020,2016,366,324,42,0,0,0,0,86,52,34,0,1,212,133,20
"Farmington, NM",22140,2016,366,273,91,2,0,0,0,108,71,44,0,10,355,0,1
"Fayetteville, NC",22180,2016,358,278,80,0,0,0,0,93,57,41,0,0,172,184,2
"Fayetteville-Springdale-Rogers, AR-MO",22220,2016,366,338,28,0,0,0,0,77,49,38,0,0,326,40,0
"Fernley, NV",22280,2016,352,282,69,1,0,0,0,101,61,41,0,0,352,0,0
"Flagstaff, AZ",22380,2016,366,301,65,0,0,0,0,97,58,44,0,0,363,3,0
"Flint, MI",22420,2016,364,294,61,9,0,0,0,129,60,38,0,0,172,192,0
"Florence, SC",22500,2016,335,294,41,0,0,0,0,87,52,38,0,0,211,124,0
"Florence-Muscle Shoals, AL",22520,2016,282,258,23,1,0,0,0,115,50,38,0,0,219,63,0
"Fond du Lac, WI",22540,2016,189,165,21,3,0,0,0,108,58,38,0,0,189,0,0
"Fort Collins, CO",22660,2016,366,189,169,7,1,0,0,151,87,50,0,0,317,47,2
"Fort Madison-Keokuk, IA-IL-MO",22800,2016,113,95,18,0,0,0,0,70,54,32,0,0,0,113,0
"Fort Payne, AL",22840,2016,348,304,43,1,0,0,0,119,54,40,0,0,321,27,0
"Fort Smith, AR-OK",22900,2016,361,331,30,0,0,0,0,74,49,37,0,58,233,66,4
"Fort Wayne, IN",23060,2016,366,256,107,3,0,0,0,119,64,42,0,3,139,224,0
"Fresno, CA",23420,2016,366,92,169,80,25,0,0,190,140,74,0,1,217,136,12
"Gadsden, AL",23460,2016,352,162,184,3,3,0,0,179,67,52,0,0,104,248,0
"Gaffney, SC",23500,2016,172,148,23,1,0,0,0,101,54,41,0,0,172,0,0
"Gainesville, FL",23540,2016,360,321,38,1,0,0,0,101,51,37,0,0,227,133,0
"Gainesville, GA",23580,2016,119,103,14,1,1,0,0,155,52,30,0,0,0,119,0
"Gardnerville Ranchos, NV",23820,2016,336,300,35,1,0,0,0,105,53,26,0,0,0,336,0
"Georgetown, SC",23860,2016,312,309,3,0,0,0,0,62,28,16,0,0,0,0,312
"Gettysburg, PA",23900,2016,366,284,77,5,0,0,0,119,67,42,0,0,290,76,0
"Gillette, WY",23940,2016,366,262,103,1,0,0,0,141,62,43,0,0,232,18,116
"Glenwood Springs, CO",24060,2016,366,264,101,1,0,0,0,126,67,47,0,0,366,0,0
"Grand Island, NE",24260,2016,113,110,3,0,0,0,0,53,37,22,0,0,0,113,0
"Grand Junction, CO",24300,2016,366,260,105,1,0,0,0,102,64,46,0,0,299,67,0
"Grand Rapids-Wyoming, MI",24340,2016,366,275,81,10,0,0,0,133,66,40,0,0,229,137,0
"Grants Pass, OR",24420,2016,366,318,48,0,0,0,0,86,53,28,0,0,0,366,0
"Great Falls, MT",24500,2016,356,343,13,0,0,0,0,72,39,25,0,0,0,356,0
"Greeley, CO",24540,2016,366,246,117,3,0,0,0,129,71,45,0,0,286,79,1
"Green Bay, WI",24580,2016,366,305,56,5,0,0,0,136,58,35,0,0,169,197,0
"Greenfield Town, MA",24640,2016,366,327,36,3,0,0,0,115,53,35,0,0,270,96,0
"Greensboro-High Point, NC",24660,2016,366,271,91,4,0,0,0,133,64,42,0,0,177,182,7
"Greenville, NC",24780,2016,288,242,46,0,0,0,0,100,55,38,0,0,162,126,0
"Greenville-Anderson-Mauldin, SC",24860,2016,366,247,112,5,2,0,0,188,67,46,0,3,239,123,1
"Greenwood, SC",24940,2016,311,285,26,0,0,0,0,87,49,39,0,0,311,0,0
"Grenada, MS",24980,2016,109,99,10,0,0,0,0,64,50,31,0,0,0,109,0
"Guayama, PR",25020,2016,102,91,11,0,0,0,0,70,52,21,0,0,0,101,1
"Gulfport-Biloxi-Pascagoula, MS",25060,2016,364,307,57,0,0,0,0,97,54,39,0,11,196,157,0
"Hagerstown-Martinsburg, MD-WV",25180,2016,355,260,91,4,0,0,0,112,64,43,0,0,174,181,0
"Hailey, ID",25200,2016,113,98,15,0,0,0,0,92,56,8,0,0,0,113,0
"Hammond, LA",25220,2016,117,110,7,0,0,0,0,60,43,28,0,0,0,117,0
"Hanford-Corcoran, CA",25260,2016,366,85,207,71,3,0,0,156,115,70,0,0,184,133,49
"Harrisburg-Carlisle, PA",25420,2016,366,234,126,6,0,0,0,116,69,45,0,0,174,192,0
"Harrison, AR",25460,2016,366,350,16,0,0,0,0,90,47,37,0,0,343,23,0
"Harrisonburg, VA",25500,2016,366,334,31,1,0,0,0,108,50,32,0,116,202,48,0
"Hartford-West Hartford-East Hartford, CT",25540,2016,366,257,93,14,2,0,0,187,73,43,0,61,168,137,0
"Hattiesburg, MS",25620,2016,336,289,47,0,0,0,0,70,52,35,0,0,0,336,0
"Helena, MT",25740,2016,366,316,43,7,0,0,0,146,53,40,0,0,277,89,0
"Hermiston-Pendleton, OR",25840,2016,366,321,44,1,0,0,0,112,52,31,0,0,136,230,0
"Hickory-Lenoir-Morganton, NC",25860,2016,366,261,102,1,2,0,0,153,59,44,0,0,166,199,1
"Hilo, HI",25900,2016,366,22,339,5,0,0,0,117,76,61,0,0,0,366,0
